X,Y,FID,OBJECTID,RANK,NAME,ADDRESS,ADDRESS2,CITY,STATES,ZIP,COUNTY,EMPLOYEES,REVENUES,LATITUDE,LONGITUDE,PRC,COUNTYFIPS,PROFIT
-74.34783,40.70987,469,469,254,CELGENE,86 MORRIS AVENUE,NOT AVAILABLE,SUMMIT,NJ,7901,UNION,7132,11229,40.70987,-74.34783,ADDRESS,34039,1999.2
-92.66231,33.21469,470,470,291,MURPHY USA,200 PEACH STREET,NOT AVAILABLE,EL DORADO,AR,71730,UNION,6600,9633,33.21469,-92.66231,ADDRESS,5139,221.5
-87.546,37.98045,471,471,413,BERRY GLOBAL GROUP,301 NORTH KENTUCKY AVENUE,NOT AVAILABLE,EVANSVILLE,IN,47711,VANDERBURGH,21000,6489,37.98045,-87.546,ADDRESS,18163,236
-118.91968,34.19201,472,472,123,AMGEN,1 AMGEN CENTER DRIVE,NOT AVAILABLE,THOUSAND OAKS,CA,91320,VENTURA,19200,22991,34.19201,-118.91968,ADDRESS,6111,7722
-94.15459,36.15401,473,473,82,TYSON FOODS,2200 WEST DON TYSON PARKWAY,NOT AVAILABLE,SPRINGDALE,AR,72762,WASHINGTON,114000,36881,36.15401,-94.15459,ADDRESS,5143,1768
-122.82844,45.50715,474,474,88,NIKE,1 BOWERMAN DRIVE,NOT AVAILABLE,BEAVERTON,OR,97005,WASHINGTON,70700,32376,45.50715,-122.82844,ADDRESS,41067,3760
-81.76289,40.85039,475,475,346,J.M. SMUCKER,1 STRAWBERRY LANE,NOT AVAILABLE,ORRVILLE,OH,44667,WAYNE,6910,7811,40.85039,-81.76289,ADDRESS,39169,688.7
-83.2094,42.31475,476,476,10,FORD MOTOR,1 AMERICAN ROAD,NOT AVAILABLE,DEARBORN,MI,48126,WAYNE,201000,151800,42.31475,-83.2094,ADDRESS,26163,4596
-83.24257,42.26778,477,477,372,MASCO,21001 VAN BORN ROAD,NOT AVAILABLE,TAYLOR,MI,48180,WAYNE,26000,7357,42.26778,-83.24257,ADDRESS,26163,491
-83.05739,42.33338,478,478,272,DTE ENERGY,1 ENERGY PLAZA,NOT AVAILABLE,DETROIT,MI,48226,WAYNE,10000,10630,42.33338,-83.05739,ADDRESS,26163,868
-83.044951,42.330347,479,479,286,ALLY FINANCIAL,500 WOODWARD AVENUE,NOT AVAILABLE,DETROIT,MI,48226,WAYNE,7600,9835,42.330347,-83.044951,ON-ENTITY,26163,1067
-83.04079,42.32942,480,480,8,GENERAL MOTORS,300 RENAISSANCE CENTER,NOT AVAILABLE,DETROIT,MI,48265,WAYNE,225000,166380,42.32942,-83.04079,ADDRESS,26163,9427
-73.72124,41.10754,481,481,32,IBM,1 NEW ORCHARD ROAD,NOT AVAILABLE,ARMONK,NY,10504,WESTCHESTER,414400,79919,41.10754,-73.72124,ADDRESS,36119,11872
-73.71059,41.02329,482,482,267,MASTERCARD,2000 PURCHASE STREET,NOT AVAILABLE,PURCHASE,NY,10577,WESTCHESTER,11900,10776,41.02329,-73.71059,ADDRESS,36119,4059
-73.69335,41.03475,483,483,44,PEPSICO,700 ANDERSON HILL ROAD,NOT AVAILABLE,PURCHASE,NY,10577,WESTCHESTER,264000,62799,41.03475,-73.69335,ADDRESS,36119,6329
